venue_id,venue_full_name,venue_city,venue_state,league
10887,John Glaser Arena,Philadelphia,PA,ncaa_mbb
2150,Michael J. Hagan '85 Arena,Philadelphia,PA,ncaa_mbb
2051,Siegel Center,Richmond,VA,ncaa_mbb
1912,Littlejohn Coliseum,Clemson,SC,ncaa_mbb
2030,KFC Yum! Center,Louisville,KY,ncaa_mbb
207,Dean E. Smith Center,Chapel Hill,NC,ncaa_mbb
1961,Moody Coliseum (Dallas),Dallas,TX,ncaa_mbb
2120,LJVM Coliseum,Winston-Salem,NC,ncaa_mbb
479,Pauley Pavilion,Los Angeles,CA,ncaa_mbb
1064,McKale Center at ALKEME Arena,Tucson,AZ,ncaa_mbb
1900,Jadwin Gymnasium,Princeton,NJ,ncaa_mbb
135,Conte Forum,Chestnut Hill,MA,ncaa_mbb
1914,Cameron Indoor Stadium,Durham,NC,ncaa_mbb
1964,JMA Wireless Dome,Syracuse,NY,ncaa_mbb
2119,Cassell Coliseum,Blacksburg,VA,ncaa_mbb
2207,CU Events Center,Boulder,CO,ncaa_mbb
2126,Fertitta Center,Houston,TX,ncaa_mbb
432,Hilton Coliseum,Ames,IA,ncaa_mbb
2171,Allen Fieldhouse,Lawrence,KS,ncaa_mbb
2194,Schollmaier Arena,Fort Worth,TX,ncaa_mbb
2199,Hope Coliseum,Morgantown,WV,ncaa_mbb
2127,State Farm Center,Champaign,IL,ncaa_mbb
2133,XFINITY Center,College Park,MD,ncaa_mbb
1986,Crisler Center,Ann Arbor,MI,ncaa_mbb
399,Mackey Arena,West Lafayette,IN,ncaa_mbb
4569,Pinnacle Bank Arena,Lincoln,NE,ncaa_mbb
1958,UPMC Cooper Fieldhouse,Pittsburgh,PA,ncaa_mbb
2014,Clune Arena,Colorado Springs,CO,ncaa_mbb
1962,Colonial Life Arena,Columbia,SC,ncaa_mbb
2032,Hinkle Fieldhouse,Indianapolis,IN,ncaa_mbb
687,VyStar Veterans Memorial Arena,Jacksonville,FL,ncaa_mbb
2088,Stegeman Coliseum,Athens,GA,ncaa_mbb
251,Rupp Arena,Lexington,KY,ncaa_mbb
2095,Humphrey Coliseum,Starkville,MS,ncaa_mbb
1392,FedExForum,Memphis,TN,ncaa_mbb
5168,The Sandy and John Black Pavilion at Ole Miss,Oxford,MS,ncaa_mbb
2044,Food City Center,Knoxville,TN,ncaa_mbb
5060,T-Mobile Arena,Las Vegas,NV,ncaa_mbb
4484,Addition Financial Arena,Orlando,FL,ncaa_mbb
363,Carver-Hawkeye Arena,Iowa City,IA,ncaa_mbb
1990,Welsh-Ryan Arena,Evanston,IL,ncaa_mbb
1942,Bryce Jordan Center,University Park,PA,ncaa_mbb
348,Kohl Center,Madison,WI,ncaa_mbb
5777,Fiserv Forum,Milwaukee,WI,ncaa_mbb
146,Amica Mutual Pavilion,Providence,RI,ncaa_mbb
1826,Prudential Center,Newark,NJ,ncaa_mbb
2019,Carnesecca Arena,Queens,NY,ncaa_mbb
1969,Finneran Pavilion,Villanova,PA,ncaa_mbb
1973,Cintas Center,Cincinnati,OH,ncaa_mbb
201,Fifth Third Arena,Cincinnati,OH,ncaa_mbb
1952,Tucker Center,Tallahassee,FL,ncaa_mbb
1985,Watsco Center,Coral Gables,FL,ncaa_mbb
2025,Petersen Events Center,Pittsburgh,PA,ncaa_mbb
820,Maples Pavilion,Stanford,CA,ncaa_mbb
4796,Sanford Pentagon,Sioux Falls,SD,ncaa_mbb
5994,Dale E. and Sarah Ann Fowler Events Center,Riverside,CA,ncaa_mbb
2167,EagleBank Arena,Fairfax,VA,ncaa_mbb
2125,Charles E. Smith Center,Washington,DC,ncaa_mbb
1933,Gentile Arena,Chicago,IL,ncaa_mbb
1984,Mullins Center,Amherst,MA,ncaa_mbb
2179,Thomas M. Ryan Center,Kingston,RI,ncaa_mbb
10949,John Wooden Family Fieldhouse,Xenia,OH,ncaa_mbb
1992,Gallagher-Iba Arena,Stillwater,OK,ncaa_mbb
1925,Coleman Coliseum,Tuscaloosa,AL,ncaa_mbb
999,Lenovo Center,Raleigh,NC,ncaa_mbb
2042,Reilly Center,Saint Bonaventure,NY,ncaa_mbb
496,Haas Pavilion,Berkeley,CA,ncaa_mbb
2052,Beasley Coliseum,Pullman,WA,ncaa_mbb
239,Halton Arena,Charlotte,NC,ncaa_mbb
2196,Jon M. Huntsman Center,Salt Lake City,UT,ncaa_mbb
20,MVP Arena,Albany,NY,ncaa_mbb
2033,First National Bank Arena,Jonesboro,AR,ncaa_mbb
7393,GSU Convocation Center,Atlanta,GA,ncaa_mbb
2009,Reed Green Coliseum,Hattiesburg,MS,ncaa_mbb
1940,Chartway Arena,Norfolk,VA,ncaa_mbb
2193,Mitchell Center,Mobile,AL,ncaa_mbb
2010,Strahan Arena at the University Events Center,San Marcos,TX,ncaa_mbb
373,Cajundome,Lafayette,LA,ncaa_mbb
2137,Holmes Convocation Center,Boone,NC,ncaa_mbb
2089,Hanner Fieldhouse,Statesboro,GA,ncaa_mbb
7107,Atlantic Union Bank Center,Harrisonburg,VA,ncaa_mbb
4489,Trojan Arena,Troy,AL,ncaa_mbb
4308,The HTC Center,Conway,SC,ncaa_mbb
1987,Breslin Center,East Lansing,MI,ncaa_mbb
1977,Matthew Knight Arena,Eugene,OR,ncaa_mbb
1918,Galen Center,Los Angeles,CA,ncaa_mbb
5420,Joel & Diane Bloom Wellness and Events Center,Newark,NJ,ncaa_mbb
2093,Reitz Arena,Baltimore,MD,ncaa_mbb
2209,Lavietes Pavilion,Cambridge,MA,ncaa_mbb
1923,John J. Lee Amphitheater,New Haven,CT,ncaa_mbb
1999,Case Gym,Boston,MA,ncaa_mbb
